word,frequency
議題,1
鍛える,1
気立て,1
きちっと,1
几帳面,1
きっかり,1
きっちり,1
きっぱり,1
規定,1
起点,1
軌道,1
技能,1
規範,1
気品,1
気風,1
起伏,1
規模,1
気まぐれ,1
生真面目,1
期末,1
きまりわるい,1
記名,1
規約,1
脚色,1
逆転,1
脚本,1
華奢,1
客観,1
キャッチ,1
キャリア,1
救援,1
休学,1
究極,1
窮屈,1
球根,1
救済,1
給仕,1
給食,1
休戦,1
宮殿,1
旧知,1
窮乏,1
寄与,1
強,1
～狂,1
驚異,1
教科,1
協会,1
共学,1
共感,1
境遇,1
教訓,1
強行,1
強硬,1
教材,1
凶作,1
業者,1
教習,1
郷愁,1
教職,1
興じる,1
強制,1
行政,1
業績,1
共存,1
協定,1
郷土,1
脅迫,1
業務,1
共鳴,1
郷里,1
強烈,1
共和,1
局限,1
極端,1
居住,1
拒絶,1
漁船,1
漁村,1
拒否,1
許容,1
清らか,1
きらびやか,1
～きり,1
義理,1
切替,1
気流,1
切れ目,1
疑惑,1
極めて,1
近眼,1
緊急,1
近郊,1
均衡,1
禁じる,1
勤勉,1
吟味,1
勤務,1
禁物,1
勤労,1
クイズ,1
食い違う,1
空間,1
空腹,1
区画,1
区間,1
茎,1
区切り,1
くぐる,1
くじ (～をひく),1
くじびき,1
くすぐったい,1
愚痴,1
口吟む,1
嘴,1
朽ちる,1
覆す,1
くっきり,1
屈折,1
ぐっと,1
首飾り,1
首輪,1
組み込む,1
組み合わせる,1
蔵,1
グレー,1
クレーン,1
玄人,1
黒字,1
軍艦,1
軍事,1
君主,1
群集,1
群衆,1
軍備,1
軍服,1
芸,1
経過,1
軽快,1
警戒,1
敬具,1
軽減,1
掲載,1
傾斜,1
形成,1
形勢,1
軽率,1
刑罰,1
経費,1
警部,1
転換,1
転居,1
転勤,1
点検,1
電源,1
天国,1
天才,1
天災,1
展示,1
伝説,1
点線,1
転じる,1
転ずる,1
天体,1
伝達,1
天地,1
てんで,1
転任,1
展望,1
伝来,1
転落,1
問い合わせる,1
当～,1
胴,1
同意,1
動員,1
同感,1
陶器,1
討議,1
動機,1
等級,1
同級,1
同居,1
登校,1
統合,1
動向,1
投資,1
同情,1
道場,1
統制,1
当選,1
逃走,1
統率,1
到達,1
統治,1
仕切る,1
資金,1
軸,1
しくじる,1
仕組,1
死刑,1
湿気る,1
施行,1
思考,1
志向,1
嗜好,1
事項,1
時刻表,1
地獄,1
時差,1
自在,1
視察,1
資産,1
支持,1
自主,1
自首,1
刺繍,1
辞職,1
雫,1
システム,1
沈める,1
施設,1
事前,1
子息,1
持続,1
自尊心,1
慕う,1
下心,1
下地,1
親しむ,1
下調べ,1
愛想,1
間柄,1
合間,1
敢えて,1
仰ぐ,1
垢,1
赤字,1
明かす,1
赤らむ,1
上がり,1
諦め,1
アクセル,1
あくどい,1
顎,1
憧れ,1
麻,1
あざ,1
浅ましい,1
欺く,1
鮮やか,1
嘲笑う,1
悪しからず,1
味わい,1
焦る,1
あせる (こえが～),1
値する,1
悪化,1
扱い,1
呆気ない,1
あっさり,1
斡旋,1
圧倒,1
圧迫,1
あつらえる,1
圧力,1
当て,1
～宛,1
当て字,1
跡継ぎ,1
後回し,1
油絵,1
アプローチ,1
あべこべ,1
甘える,1
雨具,1
甘口,1
アマチュア,1
網,1
操る,1
危ぶむ,1
あやふや,1
過ち,1
誤る,1
歩み,1
歩む,1
予め,1
荒らす,1
争い,1
改まる,1
荒っぽい,1
アラブ,1
霰,1
有り様,1
ありのまま,1
ありふれる,1
アルカリ,1
アルミ,1
アワー,1
合わす,1
～合せ,1
アンコール,1
暗殺,1
暗算,1
暗示,1
案じる,1
安静,1
案の定,1
いい加減,1
言い訳,1
イェス,1
家出,1
生かす,1
いかに,1
いかにも,1
異議,1
生き甲斐,1
行き違い,1
意気込む,1
育成,1
幾多,1
"(花を〜) 生ける, 活ける",1
異見,1
意向,1
移行,1
いざ,1
移住,1
衣装,1
いじる,1
異性,1
遺跡,1
依存,1
委託,1
いたって,1
出世,1
出題,1
出動,1
出費,1
出品,1
主導,1
主任,1
首脳,1
守備,1
手法,1
樹木,1
樹立,1
準急,1
準じる,1
～署,1
～症,1
～証,1
～嬢,1
上位,1
上演,1
城下,1
消去,1
上空,1
衝撃,1
証言,1
証拠,1
照合,1
詳細,1
上昇,1
昇進,1
称する,1
情勢,1
消息,1
承諾,1
象徴,1
小児科,1
使用人,1
情熱,1
譲歩,1
条約,1
勝利,1
上陸,1
蒸溜,1
奨励,1
ショー,1
除外,1
職員,1
植民地,1
職務,1
諸君,1
助言,1
徐行,1
所在,1
所持,1
所属,1
処置,1
しょっちゅう,1
所定,1
所得,1
処罰,1
初版,1
書評,1
処分,1
庶民,1
庶務,1
所有,1
調べ,1
自立,1
記す,1
指令,1
～心,1
陣,1
進化,1
人格,1
審議,1
新婚,1
審査,1
人材,1
紳士,1
真実,1
信者,1
真珠,1
進出,1
心情,1
新人,1
神聖,1
親善,1
真相,1
迅速,1
人体,1
新築,1
心中,1
進呈,1
進展,1
神殿,1
進度,1
振動,1
新入生,1
信任,1
神秘,1
辛抱,1
人民,1
侵略,1
診療,1
水源,1
推進,1
吹奏,1
